drug,disease,reward,rank,literature_support,is_known_positive,gnn_score,safety_score,market_score,confidence,pathway_score,patent_score,rare_disease_flag,unmet_need_score,efficacy_score,adme_score,pipeline_version,schema_version,training_timestamp,model_checkpoint,reward_weights_json,input_sha256,seed,timesteps,controlled_substance
citalopram,alzheimer disease,0.6439069225196778,1,0,0,0.40442538,0.95,0.65,0.0265195500325589,0.0,0.7948368380162357,1.0,1.0,0.7159080968599016,0.9876906031820804,2.0.0,2.0.0,2026-07-11T08:36:35.116426+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",1a5ccead995a20914fdbfed54de96fd0619935f1e923cd1e81d17359653cd800,42,500,0
citalopram,type 2 diabetes,0.6184589363505697,2,0,0,0.34440643,0.95,0.65,0.071026940249345,0.0,0.7948368380162357,1.0,0.6262041267270018,0.7159080968599016,0.9876906031820804,2.0.0,2.0.0,2026-07-11T08:36:35.116426+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",1a5ccead995a20914fdbfed54de96fd0619935f1e923cd1e81d17359653cd800,42,500,0
dexamethasone,cardiovascular disease,0.6234104945657812,3,0,0,0.2760263,0.95,0.65,0.1500202916171418,0.0,0.9713488929101282,1.0,0.6262041267270018,0.5341969500007397,0.917713837654596,2.0.0,2.0.0,2026-07-11T08:36:35.116426+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",1a5ccead995a20914fdbfed54de96fd0619935f1e923cd1e81d17359653cd800,42,500,0
citalopram,cardiovascular disease,0.6233888339974425,4,0,0,0.2736912,0.95,0.65,0.1532884779314877,0.0,0.7948368380162357,1.0,0.6262041267270018,0.7159080968599016,0.9876906031820804,2.0.0,2.0.0,2026-07-11T08:36:35.116426+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",1a5ccead995a20914fdbfed54de96fd0619935f1e923cd1e81d17359653cd800,42,500,0
citalopram,osteoporosis,0.6547900047929077,5,0,0,0.23736505,0.95,0.65,0.2093690966727849,0.0,0.7948368380162357,1.0,1.0,0.7159080968599016,0.9876906031820804,2.0.0,2.0.0,2026-07-11T08:36:35.116426+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",1a5ccead995a20914fdbfed54de96fd0619935f1e923cd1e81d17359653cd800,42,500,0
