drug,disease,reward,rank,literature_support,is_known_positive,gnn_score,safety_score,market_score,confidence,pathway_score,patent_score,rare_disease_flag,unmet_need_score,efficacy_score,adme_score,pipeline_version,schema_version,training_timestamp,model_checkpoint,reward_weights_json,input_sha256,seed,timesteps,controlled_substance
sertraline,cardiovascular disease,0.5806242426652328,1,0,0,0.3294513,0.95,0.65,0.0856352326049575,0.0,0.127330111438864,1.0,0.6262041267270018,0.9721451038973866,0.8356994175028497,2.0.0,2.0.0,2026-07-11T08:37:04.954513+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",a05f5ca69cbcb9d2a79d18a1d1478959a60781da802ef7aab53bb8b47a49afde,42,500,0
citalopram,alzheimer disease,0.5814874954037185,2,0,0,0.40442538,0.95,0.65,0.0265195500325589,0.0,0.0613106428435269,1.0,1.0,0.7159080968599016,0.708348402292312,2.0.0,2.0.0,2026-07-11T08:37:04.954513+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",a05f5ca69cbcb9d2a79d18a1d1478959a60781da802ef7aab53bb8b47a49afde,42,500,0
sertraline,type 2 diabetes,0.5878855176390729,3,0,0,0.24299832,0.95,0.65,0.200009026890902,0.0,0.127330111438864,1.0,0.6262041267270018,0.9721451038973866,0.8356994175028497,2.0.0,2.0.0,2026-07-11T08:37:04.954513+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",a05f5ca69cbcb9d2a79d18a1d1478959a60781da802ef7aab53bb8b47a49afde,42,500,0
sertraline,copd,0.638167812252393,4,0,0,0.11820419,0.95,0.65,0.4758232795070667,0.0,0.127330111438864,1.0,1.0,0.9721451038973866,0.8356994175028497,2.0.0,2.0.0,2026-07-11T08:37:04.954513+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",a05f5ca69cbcb9d2a79d18a1d1478959a60781da802ef7aab53bb8b47a49afde,42,500,0
sertraline,multiple sclerosis,0.5976246528353435,5,0,0,0.1747385,0.95,0.4141216367614375,0.3315694774341942,0.0,0.127330111438864,1.0,1.0,0.9721451038973866,0.8356994175028497,2.0.0,2.0.0,2026-07-11T08:37:04.954513+00:00,/home/z/my-project/adr/output_real_run/checkpoints/ppo_model_500_steps.zip,"{""gnn_score"": 0.35, ""safety_score"": 0.18, ""market_score"": 0.08, ""confidence"": 0.08, ""pathway_score"": 0.1, ""patent_score"": 0.05, ""rare_disease_flag"": 0.05, ""unmet_need_score"": 0.05, ""efficacy_score"": 0.04, ""adme_score"": 0.02}",a05f5ca69cbcb9d2a79d18a1d1478959a60781da802ef7aab53bb8b47a49afde,42,500,0
